Unnamed: 0,traffic_speed,temperature,precipitation,wind_speed
2012-03-01 00:00:00,64.375,8.1,0.0,2.3
2012-03-01 00:05:00,62.66666666666666,8.1,0.0,2.3
2012-03-01 00:10:00,64.0,8.1,0.0,2.3
2012-03-01 00:15:00,61.77777777777778,8.1,0.0,2.3
2012-03-01 00:20:00,59.55555555555556,8.1,0.0,2.3
2012-03-01 00:25:00,57.333333333333336,8.1,0.0,2.3
2012-03-01 00:30:00,66.5,8.1,0.0,2.3
2012-03-01 00:35:00,63.625,8.1,0.0,2.3
2012-03-01 00:40:00,68.75,8.1,0.0,2.3
2012-03-01 00:45:00,63.5,8.1,0.0,2.3
2012-03-01 00:50:00,65.22222222222223,8.1,0.0,2.3
2012-03-01 00:55:00,62.25,8.1,0.0,2.3
2012-03-01 01:00:00,61.125,8.0,0.0,2.3
2012-03-01 01:05:00,58.55555555555556,8.0,0.0,2.3
2012-03-01 01:10:00,63.625,8.0,0.0,2.3
2012-03-01 01:15:00,66.77777777777777,8.0,0.0,2.3
2012-03-01 01:20:00,55.875,8.0,0.0,2.3
2012-03-01 01:25:00,64.33333333333333,8.0,0.0,2.3
2012-03-01 01:30:00,63.888888888888886,8.0,0.0,2.3
2012-03-01 01:35:00,63.125,8.0,0.0,2.3
2012-03-01 01:40:00,62.125,8.0,0.0,2.3
2012-03-01 01:45:00,61.5,8.0,0.0,2.3
2012-03-01 01:50:00,63.22222222222222,8.0,0.0,2.3
2012-03-01 01:55:00,65.0,8.0,0.0,2.3
2012-03-01 02:00:00,53.55555555555556,8.3,0.0,2.6
2012-03-01 02:05:00,62.125,8.3,0.0,2.6
2012-03-01 02:10:00,61.55555555555556,8.3,0.0,2.6
2012-03-01 02:15:00,59.875,8.3,0.0,2.6
2012-03-01 02:20:00,68.0,8.3,0.0,2.6
2012-03-01 02:25:00,65.375,8.3,0.0,2.6
2012-03-01 02:30:00,64.0,8.3,0.0,2.6
2012-03-01 02:35:00,63.22222222222222,8.3,0.0,2.6
2012-03-01 02:40:00,58.333333333333336,8.3,0.0,2.6
2012-03-01 02:45:00,56.71428571428572,8.3,0.0,2.6
2012-03-01 02:50:00,61.77777777777778,8.3,0.0,2.6
2012-03-01 02:55:00,66.5,8.3,0.0,2.6
2012-03-01 03:00:00,59.75,8.2,0.0,3.3
2012-03-01 03:05:00,63.25,8.2,0.0,3.3
